sdg,dcid
CO_NAR_FUNES,wikidataId/Q1574953
CO_NAR_GUAITARILLA,wikidataId/Q1525820
CO_NAR_ILES,wikidataId/Q1575358
CO_NAR_IMUES,wikidataId/Q23689147
CO_NAR_LA_CRUZ,wikidataId/Q1525434
CO_NAR_LA_LLANADA,wikidataId/Q1577486
CO_NAR_LA_TOLA,wikidataId/Q23730093
CO_NAR_LA_UNION,wikidataId/Q979791
CO_NAR_LEIVA,wikidataId/Q1526208
CO_NAR_LINARES,wikidataId/Q1526262
CO_NAR_LOS_ANDES,wikidataId/Q1526257
CO_NAR_MAGUI,wikidataId/Q1525449
CO_NAR_MOSQUERA,wikidataId/Q2432971
CO_NAR_OSPINA,wikidataId/Q1578953
CO_NAR_POLICARPA,wikidataId/Q1525852
CO_NAR_POTOSI,wikidataId/Q1525078
CO_NAR_PROVIDENCIA,wikidataId/Q681111
CO_NAR_PUERRES,wikidataId/Q948935
CO_NAR_PUPIALES,wikidataId/Q368268
CO_NAR_ROBERTO_PAYAN,wikidataId/Q23684500
CO_NAR_SAMANIEGO,wikidataId/Q2195228
CO_NAR_SANDONA,wikidataId/Q1441195
CO_NAR_SANTACRUZ,wikidataId/Q1442399
CO_NAR_SAN_ANDRES_DE_TUMACO,wikidataId/Q1005555
CO_NAR_SAN_BERNARDO,wikidataId/Q1525355
CO_NAR_SAN_LORENZO,wikidataId/Q1525075
CO_NAR_SAN_PABLO,wikidataId/Q1936455
CO_NAR_SAN_PEDRO_DE_CARTAGO,wikidataId/Q974273
CO_NAR_SAPUYES,wikidataId/Q1577815
CO_NAR_TAMINANGO,wikidataId/Q1525858
CO_NAR_TANGUA,wikidataId/Q1574964
CO_NAR_TUQUERRES,wikidataId/Q2373315
CO_NAR_YACUANQUER,wikidataId/Q1578989
CO_NSA_ABREGO,wikidataId/Q2429591
CO_NSA_ARBOLEDAS,wikidataId/Q1574827
CO_NSA_BUCARASICA,wikidataId/Q1655530
CO_NSA_CACHIRA,wikidataId/Q1575962
CO_NSA_CHITAGA,wikidataId/Q1576762
CO_NSA_CONVENCION,wikidataId/Q1525332
CO_NSA_CUCUTILLA,wikidataId/Q515211
CO_NSA_EL_TARRA,wikidataId/Q1577131
CO_NSA_EL_ZULIA,wikidataId/Q23691357
CO_NSA_HERRAN,wikidataId/Q1655591
CO_NSA_LA_ESPERANZA,wikidataId/Q1576157
CO_NSA_LOURDES,wikidataId/Q1656799
CO_NSA_MUTISCUA,wikidataId/Q1656003
CO_NSA_OCANA,wikidataId/Q2283773
CO_NSA_PAMPLONA,wikidataId/Q997796
CO_NSA_PUERTO_SANTANDER,wikidataId/Q23730105
CO_NSA_RAGONVALIA,wikidataId/Q1576165
CO_NSA_SANTIAGO,wikidataId/Q2078735
CO_NSA_SAN_CAYETANO,wikidataId/Q2434048
CO_NSA_SILOS,wikidataId/Q1655140
CO_NSA_TEORAMA,wikidataId/Q1524830
CO_NSA_TIBU,wikidataId/Q23730199
CO_NSA_TOLEDO,wikidataId/Q1525656
CO_NSA_VILLA_DEL_ROSARIO,wikidataId/Q923525
CO_PUT_COLON,wikidataId/Q1962031
CO_PUT_MOCOA,wikidataId/Q579803
CO_PUT_PUERTO_ASIS,wikidataId/Q1018571
CO_PUT_PUERTO_LEGUIZAMO,wikidataId/Q1525407
CO_PUT_SANTIAGO,wikidataId/Q1577803
CO_PUT_SAN_FRANCISCO,wikidataId/Q2434062
CO_PUT_SAN_MIGUEL,wikidataId/Q1442390
CO_PUT_SIBUNDOY,wikidataId/Q368507
CO_PUT_VALLE_DEL_GUAMUEZ,wikidataId/Q739165
CO_PUT_VILLAGARZON,wikidataId/Q1441065
CO_QUI_ARMENIA,wikidataId/Q328518
CO_QUI_BUENAVISTA,wikidataId/Q607290
CO_QUI_CIRCASIA,wikidataId/Q958855
CO_QUI_CORDOBA,wikidataId/Q1883426
CO_QUI_FILANDIA,wikidataId/Q1525384
CO_QUI_GENOVA,wikidataId/Q968063
CO_QUI_LA_TEBAIDA,wikidataId/Q2432300
CO_QUI_MONTENEGRO,wikidataId/Q1256403
CO_QUI_PIJAO,wikidataId/Q636738
CO_QUI_QUIMBAYA,wikidataId/Q2433472
CO_QUI_SALENTO,wikidataId/Q1576707
CO_RIS_APIA,wikidataId/Q1525318
CO_RIS_BALBOA,wikidataId/Q634563
CO_RIS_BELEN_DE_UMBRIA,wikidataId/Q1391572
CO_RIS_DOSQUEBRADAS,wikidataId/Q1093584
CO_RIS_GUATICA,wikidataId/Q1526252
CO_RIS_LA_CELIA,wikidataId/Q1576175
CO_RIS_LA_VIRGINIA,wikidataId/Q2310853
CO_RIS_MARSELLA,wikidataId/Q1441429
CO_RIS_MISTRATO,wikidataId/Q923166
CO_RIS_PUEBLO_RICO,wikidataId/Q514908
CO_RIS_QUINCHIA,wikidataId/Q23684310
CO_RIS_SANTUARIO,wikidataId/Q1526270
CO_SAN_AGUADA,wikidataId/Q1656766
CO_SAN_ALBANIA,wikidataId/Q1655535
CO_SAN_ARATOCA,wikidataId/Q933015
CO_SAN_BARBOSA,wikidataId/Q937957
CO_SAN_BARICHARA,wikidataId/Q23696579
CO_SAN_BARRANCABERMEJA,wikidataId/Q808830
CO_SAN_BETULIA,wikidataId/Q2430135
CO_SAN_BOLIVAR,wikidataId/Q2430208
CO_SAN_CALIFORNIA,wikidataId/Q1654766
CO_SAN_CAPITANEJO,wikidataId/Q1574750
CO_SAN_CARCASI,wikidataId/Q1656695
CO_SAN_CEPITA,wikidataId/Q963127
CO_SAN_CERRITO,wikidataId/Q2012935
CO_SAN_CHARALA,wikidataId/Q652409
CO_SAN_CHARTA,wikidataId/Q594164
CO_SAN_CHIMA,wikidataId/Q783143
CO_SAN_CHIPATA,wikidataId/Q2430935
CO_SAN_CIMITARRA,wikidataId/Q2430987
CO_SAN_CONFINES,wikidataId/Q1655570
CO_SAN_CONTRATACION,wikidataId/Q1655552
CO_SAN_COROMORO,wikidataId/Q1579660
CO_SAN_CURITI,wikidataId/Q23692688
CO_SAN_EL_CARMEN_DE_CHUCURI,wikidataId/Q515182
CO_SAN_EL_GUACAMAYO,wikidataId/Q1655487
CO_SAN_EL_PENON,wikidataId/Q1748606
CO_SAN_EL_PLAYON,wikidataId/Q1525443
CO_SAN_ENCINO,wikidataId/Q1654297
CO_SAN_ENCISO,wikidataId/Q1654246
CO_SAN_GALAN,wikidataId/Q23691563
CO_SAN_GAMBITA,wikidataId/Q1655623
CO_SAN_GIRON,wikidataId/Q1093497
CO_SAN_GUACA,wikidataId/Q948769
CO_SAN_GUADALUPE,wikidataId/Q2432014
CO_SAN_GUAPOTA,wikidataId/Q1655667
CO_SAN_GUAVATA,wikidataId/Q597693
CO_SAN_GUEPSA,wikidataId/Q1560045
CO_SAN_HATO,wikidataId/Q1655700
CO_SAN_JORDAN,wikidataId/Q726802
CO_SAN_LANDAZURI,wikidataId/Q612555
CO_SAN_LA_BELLEZA,wikidataId/Q1575306
CO_SAN_LA_PAZ,wikidataId/Q2432181
CO_SAN_LEBRIJA,wikidataId/Q2279924
CO_SAN_LOS_SANTOS,wikidataId/Q1574960
CO_SAN_MACARAVITA,wikidataId/Q1655505
CO_SAN_MALAGA,wikidataId/Q950892
CO_SAN_MATANZA,wikidataId/Q1574806
CO_SAN_MOGOTES,wikidataId/Q1577177
CO_SAN_MOLAGAVITA,wikidataId/Q1575454
CO_SAN_OCAMONTE,wikidataId/Q1655496
CO_SAN_OIBA,wikidataId/Q23685399
CO_SAN_ONZAGA,wikidataId/Q23685418
CO_SAN_PALMAR,wikidataId/Q1654701
CO_SAN_PALMAS_DEL_SOCORRO,wikidataId/Q1656731
CO_SAN_PARAMO,wikidataId/Q366923
CO_SAN_PIEDECUESTA,wikidataId/Q23684896
CO_SAN_PINCHOTE,wikidataId/Q23684971
CO_SAN_PUENTE_NACIONAL,wikidataId/Q1525489
CO_SAN_PUERTO_PARRA,wikidataId/Q1575386
CO_SAN_PUERTO_WILCHES,wikidataId/Q579352
CO_SAN_RIONEGRO,wikidataId/Q2433619
CO_SAN_SABANA_DE_TORRES,wikidataId/Q1525377
CO_SAN_SANTA_BARBARA,wikidataId/Q1828744
CO_SAN_SAN_ANDRES,wikidataId/Q964241
CO_SAN_SAN_BENITO,wikidataId/Q1655659
CO_SAN_SAN_GIL,wikidataId/Q23683839
CO_SAN_SAN_JOAQUIN,wikidataId/Q1655466
CO_SAN_SAN_JOSE_DE_MIRANDA,wikidataId/Q1657219
CO_SAN_SAN_MIGUEL,wikidataId/Q2434034
CO_SAN_SAN_VICENTE_DE_CHUCURI,wikidataId/Q1256417
CO_SAN_SIMACOTA,wikidataId/Q1578171
CO_SAN_SOCORRO,wikidataId/Q979980
CO_SAN_SUAITA,wikidataId/Q2434325
CO_SAN_SUCRE,wikidataId/Q2434746
CO_SAN_SURATA,wikidataId/Q1655935
CO_SAN_TONA,wikidataId/Q1574932
CO_SAN_VALLE_DE_SAN_JOSE,wikidataId/Q1657211
CO_SAN_VETAS,wikidataId/Q2184603
CO_SAN_VILLANUEVA,wikidataId/Q942314
CO_SAN_ZAPATOCA,wikidataId/Q23680969
CO_SUC_BUENAVISTA,wikidataId/Q2430438
CO_SUC_CAIMITO,wikidataId/Q738108
CO_SUC_CHALAN,wikidataId/Q1656706
CO_SUC_COVENAS,wikidataId/Q952231
CO_SUC_EL_ROBLE,wikidataId/Q1577912
CO_SUC_GALERAS,wikidataId/Q389099
CO_SUC_GUARANDA,wikidataId/Q1526247
CO_SUC_LA_UNION,wikidataId/Q684303
CO_SUC_LOS_PALMITOS,wikidataId/Q595791
CO_SUC_MAJAGUAL,wikidataId/Q23685934
CO_SUC_MORROA,wikidataId/Q1526204
CO_SUC_SAMPUES,wikidataId/Q2433637
CO_SUC_SANTIAGO_DE_TOLU,wikidataId/Q601893
CO_SUC_SAN_BENITO_ABAD,wikidataId/Q1441153
CO_SUC_SAN_JUAN_DE_BETULIA,wikidataId/Q1526281
CO_SUC_SAN_LUIS_DE_SINCE,wikidataId/Q587626
CO_SUC_SAN_MARCOS,wikidataId/Q2434075
CO_SUC_SAN_ONOFRE,wikidataId/Q2324811
CO_SUC_SAN_PEDRO,wikidataId/Q23682955
CO_SUC_SINCELEJO,wikidataId/Q23682708
CO_TOL_ALPUJARRA,wikidataId/Q748817
CO_TOL_ALVARADO,wikidataId/Q1575371
CO_TOL_AMBALEMA,wikidataId/Q23696819
CO_TOL_ANZOATEGUI,wikidataId/Q1525611
CO_TOL_ATACO,wikidataId/Q2430018
CO_TOL_CAJAMARCA,wikidataId/Q1441115
CO_TOL_CARMEN_DE_APICALA,wikidataId/Q1574988
CO_TOL_CASABIANCA,wikidataId/Q1576184
CO_TOL_CHAPARRAL,wikidataId/Q1977885
CO_TOL_COELLO,wikidataId/Q1577445
CO_TOL_COYAIMA,wikidataId/Q583757
CO_TOL_CUNDAY,wikidataId/Q577597
CO_TOL_DOLORES,wikidataId/Q520486
CO_TOL_ESPINAL,wikidataId/Q2298176
CO_TOL_FLANDES,wikidataId/Q764821
CO_TOL_FRESNO,wikidataId/Q2431919
CO_TOL_HERVEO,wikidataId/Q23689015
CO_TOL_HONDA,wikidataId/Q932513
CO_TOL_IBAGUE,wikidataId/Q222755
CO_TOL_LERIDA,wikidataId/Q1526029
CO_TOL_LIBANO,wikidataId/Q1256428
CO_TOL_MELGAR,wikidataId/Q1257259
CO_TOL_MURILLO,wikidataId/Q977896
CO_TOL_NATAGAIMA,wikidataId/Q258673
CO_TOL_ORTEGA,wikidataId/Q2433233
CO_TOL_PALOCABILDO,wikidataId/Q1575427
CO_TOL_PIEDRAS,wikidataId/Q1655981
CO_TOL_PLANADAS,wikidataId/Q23685037
CO_TOL_PRADO,wikidataId/Q1576149
CO_TOL_PURIFICACION,wikidataId/Q1392469
CO_TOL_RONCESVALLES,wikidataId/Q748399
CO_TOL_ROVIRA,wikidataId/Q1441209
CO_TOL_SALDANA,wikidataId/Q1525454
CO_TOL_SANTA_ISABEL,wikidataId/Q1574921
CO_TOL_SAN_ANTONIO,wikidataId/Q1526235
CO_TOL_SAN_LUIS,wikidataId/Q1525328
CO_TOL_SUAREZ,wikidataId/Q2104427
CO_TOL_S_SEBASTIAN_MARIQUITA,wikidataId/Q532572
CO_TOL_VENADILLO,wikidataId/Q1525428
CO_TOL_VILLAHERMOSA,wikidataId/Q1575039
CO_TOL_VILLARRICA,wikidataId/Q1577347
CO_VAC_ALCALA,wikidataId/Q1526276
CO_VAC_ANDALUCIA,wikidataId/Q1526216
CO_VAC_ANSERMANUEVO,wikidataId/Q1441179
CO_VAC_BOLIVAR,wikidataId/Q1880935
CO_VAC_BUENAVENTURA,wikidataId/Q996581
CO_VAC_CALIMA,wikidataId/Q1526288
CO_VAC_CANDELARIA,wikidataId/Q2430763
CO_VAC_CARTAGO,wikidataId/Q2004074
CO_VAC_DAGUA,wikidataId/Q2406018
CO_VAC_EL_AGUILA,wikidataId/Q1578199
CO_VAC_EL_CAIRO,wikidataId/Q1577535
CO_VAC_EL_CERRITO,wikidataId/Q1093505
CO_VAC_EL_DOVIO,wikidataId/Q606862
CO_VAC_FLORIDA,wikidataId/Q1093490
CO_VAC_GINEBRA,wikidataId/Q1525670
CO_VAC_GUACARI,wikidataId/Q2431973
CO_VAC_GUADALAJARA_DE_BUGA,wikidataId/Q934753
CO_VAC_LA_CUMBRE,wikidataId/Q677687
CO_VAC_LA_UNION,wikidataId/Q2022508
CO_VAC_LA_VICTORIA,wikidataId/Q1526230
CO_VAC_OBANDO,wikidataId/Q676377
CO_VAC_PALMIRA,wikidataId/Q989858
CO_VAC_RESTREPO,wikidataId/Q751122
CO_VAC_RIOFRIO,wikidataId/Q584328
CO_VAC_ROLDANILLO,wikidataId/Q1146669
CO_VAC_SAN_PEDRO,wikidataId/Q2434300
CO_VAC_SEVILLA,wikidataId/Q2263673
CO_VAC_TORO,wikidataId/Q1526212
CO_VAC_TRUJILLO,wikidataId/Q1525974
CO_VAC_ZARZAL,wikidataId/Q2434788
CO_VAU_MITU,wikidataId/Q23730062
CO_VAU_TARAIRA,wikidataId/Q1655173
CO_VID_CUMARIBO,wikidataId/Q23730970
CO_VID_LA_PRIMAVERA,wikidataId/Q941906
CO_VID_SANTA_ROSALIA,wikidataId/Q1655146
CR_ALAJUELA,wikidataId/Q37104
CR_CARTAGO,wikidataId/Q30617
CR_LIBERIA,wikidataId/Q1387526
CR_LIMON,wikidataId/Q30620
CR_PUNTARENAS,wikidataId/Q30687
CR_SAN_JOSE,wikidataId/Q3070
CU_BAYAMO,wikidataId/Q115382
CU_CAMAGUEY,wikidataId/Q115329
CU_CIEGO_DE_AVILA,wikidataId/Q115465
CU_CIENFUEGOS,wikidataId/Q190005
CU_GUANTANAMO,wikidataId/Q185156
CU_HOLGUIN,wikidataId/Q244154
CU_LAS_TUNAS,wikidataId/Q115527
CU_LA_HABANA,wikidataId/Q1165566
CU_SANTA_CLARA,wikidataId/Q211590
CU_SANTIAGO_DE_CUBA,wikidataId/Q117040
CV_PRAIA,wikidataId/Q3751
CY_LEMESOS,wikidataId/Q185632
CZ_BRNO,wikidataId/Q14960
CZ_CESKE_BUDEJOVICE,wikidataId/Q16506
CZ_CHOMUTOV_JIRKOV,wikidataId/Q149097
CZ_HAVIROV,wikidataId/Q192904
CZ_HRADEC_KRALOVE,wikidataId/Q180139
CZ_KLADNO,wikidataId/Q155993
CZ_LIBEREC,wikidataId/Q146351
CZ_MOST,wikidataId/Q146363
CZ_OLOMOUC,wikidataId/Q81137
CZ_OSTRAVA,wikidataId/Q8385
CZ_PARDUBICE,wikidataId/Q36989
CZ_PLZEN,wikidataId/Q43453
CZ_PORUBA,wikidataId/Q3500288
CZ_PRAHA,nuts/CZ01
CZ_USTI_NAD_LABEM,wikidataId/Q156974
DE_AACHEN,nuts/DEA21
DE_AUGSBURG,wikidataId/Q760477
DE_BAD_SODEN_AM_TAUNUS_KELKHEIM,wikidataId/Q39785
DE_BAMBERG,nuts/DE241
DE_BAYREUTH,nuts/DE242
DE_BENRATH,wikidataId/Q459769
DE_BERLIN,nuts/DE3
DE_BIELEFELD,nuts/DEA41
DE_BOCHOLT,wikidataId/Q3917
DE_BONN,nuts/DEA22
DE_BRAUNSCHWEIG,nuts/DE911
DE_BREMEN,nuts/DE501
DE_BREMERHAVEN,nuts/DE502
DE_CHEMNITZ,nuts/DED41
DE_COTTBUS,nuts/DE402
DE_DARMSTADT,nuts/DE711
DE_DELMENHORST,nuts/DE941
DE_DRESDEN,nuts/DED21
DE_DUISBURG,nuts/DEA12
DE_DUREN,wikidataId/Q1884
DE_DUSSELDORF,nuts/DEA11
DE_ERFURT,nuts/DEG01
DE_ERLANGEN,nuts/DE252
DE_ESSLINGEN_AM_NECKAR,wikidataId/Q3786
DE_FLENSBURG,nuts/DEF01
DE_FRANKFURT,nuts/DE403
DE_FRANKFURT_AM_MAIN,nuts/DE712
DE_FREIBURG_IM_BREISGAU,nuts/DE131
DE_FURTH,nuts/DE253
DE_GERA,nuts/DEG02
DE_GEVELSBERG_SCHWELM,wikidataId/Q11293
DE_GIESSEN,wikidataId/Q3874
DE_GOPPINGEN,wikidataId/Q4072
DE_GORLITZ,nuts/DED22
DE_GOTTINGEN,wikidataId/Q3033
DE_GROPELINGEN_VEGESACK,wikidataId/Q315005
DE_GUTERSLOH,wikidataId/Q3771
DE_HAGEN,nuts/DEA53
DE_HALLE,nuts/DEE02
DE_HAMBURG,nuts/DE6
DE_HAMM,nuts/DEA54
DE_HANAU,wikidataId/Q3802
DE_HANNOVER,nuts/DE921
DE_HARBURG,wikidataId/Q503226
DE_HEIDELBERG,nuts/DE125
DE_HEILBRONN,nuts/DE117
DE_HERZOGENRATH,wikidataId/Q6916
DE_HILDESHEIM,wikidataId/Q3185
DE_INGOLSTADT,nuts/DE211
DE_ISERLOHN,wikidataId/Q1130
DE_JENA,nuts/DEG03
DE_KAISERSLAUTERN,nuts/DEB32
DE_KARLSRUHE,nuts/DE122
DE_KASSEL,nuts/DE731
DE_KEMPTEN,nuts/DE273
DE_KIEL,nuts/DEF02
DE_KOBLENZ,nuts/DEB11
DE_KREFELD,nuts/DEA14
DE_LANDSHUT,nuts/DE221
DE_LEIPZIG,nuts/DED51
DE_LEVERKUSEN,nuts/DEA24
DE_LUBECK,nuts/DEF03
DE_LUDENSCHEID,wikidataId/Q3893
DE_LUDWIGSBURG,wikidataId/Q622
DE_LUNEBURG,wikidataId/Q3920
DE_LUNEN,wikidataId/Q3822
DE_LUTTEN_KLEIN,wikidataId/Q1880458
DE_MAGDEBURG,nuts/DEE03
DE_MAINZ,nuts/DEB35
DE_MANNHEIM_LUDWIGSHAFEN,nuts/DEB34
DE_MARL,wikidataId/Q3813
DE_MOERS_RHEINHAUSEN,wikidataId/Q469928
DE_MONCHENGLADBACH,nuts/DEA15
DE_MUNCHEN,nuts/DE212
DE_MUNSTER,nuts/DEA33
DE_NEUMUNSTER,nuts/DEF04
DE_NEUSS,wikidataId/Q2948
DE_OLDENBURG,nuts/DE943
DE_OSNABRUCK,nuts/DE944
DE_PADERBORN,wikidataId/Q2971
DE_PFORZHEIM,nuts/DE129
DE_PLAUEN,nuts/DED12
DE_PORZ,wikidataId/Q458242
DE_POTSDAM,nuts/DE404
DE_REGENSBURG,nuts/DE232
DE_REMSCHEID,nuts/DEA18
DE_REUTLINGEN,wikidataId/Q3085
DE_ROSENHEIM,nuts/DE213
DE_ROSTOCK,nuts/DE803
DE_RUSSELSHEIM_AM_MAIN,wikidataId/Q4031
DE_SAARBRUCKEN,wikidataId/Q1724
DE_SCHWEINFURT,nuts/DE262
DE_SINDELFINGEN,wikidataId/Q4019
DE_SOLINGEN_WUPPERTAL,nuts/DEA19
DE_STUTTGART,nuts/DE111
DE_TRIER,nuts/DEB21
DE_TUBINGEN,wikidataId/Q3806
DE_ULM_NEU_ULM,wikidataId/Q4120
DE_VAIHINGEN_MOHRINGEN,wikidataId/Q1957900
DE_WIESBADEN,nuts/DE714
DE_WOLFSBURG,nuts/DE913
DE_WURZBURG,nuts/DE263
DK_AALBORG,wikidataId/Q25410
DK_ARHUS,wikidataId/Q25319
DK_HERNING,wikidataId/Q27393
DK_HJORRING,wikidataId/Q21185
DK_HORSHOLM,wikidataId/Q20835
DK_ISHOJ,wikidataId/Q3196979
DK_KOBENHAVN,wikidataId/Q1748
DK_ODENSE,wikidataId/Q25331
DK_SLAGELSE,wikidataId/Q3414556
DK_SVENDBORG,wikidataId/Q28031
DO_HIGUEY,wikidataId/Q1020261
DO_LA_ROMANA,wikidataId/Q40508
DO_PUERTO_PLATA,wikidataId/Q988413
DO_SANTIAGO_DE_LOS_CABALLEROS,wikidataId/Q42763
DO_SAN_FRANCISCO_DE_MACORIS,wikidataId/Q681999
DZ_ADRAR,wikidataId/Q251181
DZ_ANNABA,wikidataId/Q45942
DZ_BATNA,wikidataId/Q338844
DZ_BLIDA,wikidataId/Q216990
DZ_CHLEF,wikidataId/Q849561
DZ_CONSTANTINE,wikidataId/Q187346
DZ_DJELFA,wikidataId/Q2794758
DZ_EL_DJAZAIR,wikidataId/Q3561
DZ_EL_KHROUB,wikidataId/Q391129
DZ_KHEMIS_MILIANA,wikidataId/Q954285
DZ_MILA,wikidataId/Q335676
DZ_MSILA,wikidataId/Q402825
DZ_ORAN,wikidataId/Q131818
DZ_TAMANRASSET,wikidataId/Q205792
DZ_TEBESSA,wikidataId/Q984575
DZ_TIARET,wikidataId/Q565568
DZ_TOLGA,wikidataId/Q2280394
EC_BABAHOYO,wikidataId/Q797568
EC_CHONE,wikidataId/Q2756591
EC_CUENCA,wikidataId/Q54886
EC_DAULE,wikidataId/Q1014430
EC_ESMERALDAS,wikidataId/Q149955
EC_GUAYAQUIL,wikidataId/Q1991935
EC_LOJA,wikidataId/Q944697
EC_MACHALA,wikidataId/Q215080
EC_MILAGRO,wikidataId/Q773238
EC_QUEVEDO,wikidataId/Q773225
EC_QUITO,wikidataId/Q2900
EC_RIOBAMBA,wikidataId/Q478675
EC_SANTO_DOMINGO_LOS_COLORADOS,wikidataId/Q1015654
EC_TULCAN,wikidataId/Q752113
EE_NARVA,wikidataId/Q102158
EE_TALLINN,wikidataId/Q1770
EE_TARTU,wikidataId/Q13972
EG_ALEXANDRIA,wikidataId/Q87
EG_AL_GHARDAQAH,wikidataId/Q187284
EG_AL_QAHIRAH,wikidataId/Q85
EG_ASYUT,wikidataId/Q29962
EG_AZ_ZAQAZIQ,wikidataId/Q140304
EG_BUR_SAID,wikidataId/Q134509
ER_ASMERA,wikidataId/Q3642
ES_ALBACETE,wikidataId/Q15095
ES_ALCOY,wikidataId/Q494777
ES_ALICANTE,wikidataId/Q11959
ES_ALMERIA,wikidataId/Q10400
ES_AVILES,wikidataId/Q14649
ES_A_CORUNA,wikidataId/Q8757
ES_BARCELONA,wikidataId/Q1492
ES_BENIDORM,wikidataId/Q487981
ES_BILBAO,wikidataId/Q8692
ES_BURGOS,wikidataId/Q9580
ES_CACERES,wikidataId/Q15678
ES_CADIZ,wikidataId/Q15682
ES_CARTAGENA,wikidataId/Q162615
ES_CASTELLDEFELS,wikidataId/Q15597
ES_COSLADA,wikidataId/Q164197
ES_ELCHE,wikidataId/Q10509
ES_EL_MASNOU,wikidataId/Q12039
ES_EL_PRAT_DE_LLOBREGAT,wikidataId/Q15619
ES_FERROL,wikidataId/Q485329
ES_GIJON,wikidataId/Q12273
ES_GRANADA,wikidataId/Q8810
ES_IGUALADA,wikidataId/Q15950
ES_IRUN,wikidataId/Q200201
ES_LOGRONO,wikidataId/Q14325
ES_MADRID,wikidataId/Q2807
ES_MANRESA,wikidataId/Q16697
ES_MELILLA,nuts/ES64
ES_MOLLET_DEL_VALLES,wikidataId/Q15430
ES_MURCIA,wikidataId/Q12225
ES_OVIEDO,wikidataId/Q14317
ES_PALENCIA,wikidataId/Q8378
ES_PALMA,wikidataId/Q8826
ES_PAMPLONA,wikidataId/Q10282
ES_PARLA,wikidataId/Q824651
ES_PUERTO_DE_LA_CRUZ,wikidataId/Q623549
ES_REUS,wikidataId/Q487096
ES_SABADELL,wikidataId/Q12258
ES_SALAMANCA,wikidataId/Q15695
ES_SANTANDER,wikidataId/Q12233
ES_SANTA_CRUZ_DE_TENERIFE,wikidataId/Q14328
ES_SANTIAGO_DE_COMPOSTELA,wikidataId/Q14314
ES_SANT_BOI_DE_LLOBREGAT,wikidataId/Q15635
ES_SEVILLA,wikidataId/Q8717
ES_TALAVERA_DE_LA_REINA,wikidataId/Q181359
ES_TARRAGONA,wikidataId/Q15088
ES_TERRASSA,wikidataId/Q13939
ES_TOLEDO,wikidataId/Q5836
ES_TORREMOLINOS,wikidataId/Q492737
ES_TORREVIEJA,wikidataId/Q221749
ES_VALENCIA,wikidataId/Q8818
ES_VALLADOLID,wikidataId/Q8356
ES_VIGO,wikidataId/Q8745
ES_VILADECANS,wikidataId/Q15652
ES_VILANOVA_I_LA_GELTRU,wikidataId/Q15553
ES_VITORIA_GASTEIZ,wikidataId/Q14318
ES_ZAMORA,wikidataId/Q15696
ES_ZARAGOZA,wikidataId/Q10305
ET_ADAMA,wikidataId/Q351427
ET_ADDIS_ABABA,wikidataId/Q3624
ET_BAHIR_DAR,wikidataId/Q464699
ET_GONDER,wikidataId/Q218861
ET_HARAR,wikidataId/Q190184
FI_HELSINKI,wikidataId/Q1757
FI_JYVASKYLA,wikidataId/Q134620
FI_LOHJA,wikidataId/Q214777
FI_OULU,wikidataId/Q47048
FI_ROVANIEMI,wikidataId/Q103717
FI_TAMPERE,wikidataId/Q40840
FI_TURKU,wikidataId/Q38511
FJ_LAUTOKA,wikidataId/Q856662
FJ_NADI,wikidataId/Q619443
FJ_SUVA,wikidataId/Q38807
FR_AIX_EN_PROVENCE,wikidataId/Q47465
FR_AJACCIO,wikidataId/Q40104
FR_AMIENS,wikidataId/Q41604
FR_ANGERS,wikidataId/Q38380
FR_ANNECY,wikidataId/Q50189
FR_ANTIBES,wikidataId/Q126898
FR_ARRAS,wikidataId/Q131329
FR_AVIGNON,wikidataId/Q6397
FR_BELFORT,wikidataId/Q171545
FR_BESANCON,wikidataId/Q37776
FR_BEZIERS,wikidataId/Q174019
FR_BORDEAUX,wikidataId/Q1479
FR_BOULOGNE_SUR_MER,wikidataId/Q81997
FR_BOURGES,wikidataId/Q132404
FR_BREST,wikidataId/Q12193
FR_CAEN,wikidataId/Q41185
FR_CALAIS,wikidataId/Q6454
FR_CERGY_PONTOISE,wikidataId/Q961964
FR_CHAMBERY,wikidataId/Q165090
FR_CHARTRES,wikidataId/Q130272
FR_CLERMONT_FERRAND,wikidataId/Q42168
FR_COLMAR,wikidataId/Q130994
FR_DIJON,wikidataId/Q7003
FR_DOUAI,wikidataId/Q193826
FR_DUNKERQUE,wikidataId/Q45797
FR_FREJUS,wikidataId/Q215155
FR_GRENOBLE,wikidataId/Q1289
FR_LA_ROCHELLE,wikidataId/Q82185
FR_LA_SEYNE_SUR_MER_SANARY_SUR_MER,wikidataId/Q659484
FR_LES_CLAYES_SOUS_BOIS,wikidataId/Q491948
FR_LE_HAVRE,wikidataId/Q42810
FR_LE_MANS,wikidataId/Q1476
FR_LILLE,wikidataId/Q648
FR_LIMOGES,wikidataId/Q45656
FR_LYON,wikidataId/Q456
FR_MANTES_LA_JOLIE,wikidataId/Q207253
FR_MARSEILLE,wikidataId/Q23482
FR_MARTIGUES_PORT_DE_BOUC,wikidataId/Q675925
FR_MAUREPAS_MONTIGNY_LE_BRETONNEUX,wikidataId/Q94477
FR_MEAUX,wikidataId/Q207620
FR_MELUN,wikidataId/Q41139
FR_METZ,wikidataId/Q22690
FR_MONTPELLIER,wikidataId/Q6441
FR_MULHOUSE,wikidataId/Q79815
